model_name,release_date,display,battery,camera,ram,storage,price,source_url
Samsung Galaxy A07,"2026, January 13","Li-Ion 6000 mAh | 6.7 inches, 108.4 cm 2 (~83.6% screen-to-body ratio) | 720 x 1600 pixels, 20:9 ratio (~262 ppi density)",Li-Ion 6000 mAh,"8 MP, f/2.0, 26mm (wide), 1/4.0"", 1.12µm",4GB,"64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM","₹ 15,998",https://www.gsmarena.com/samsung_galaxy_a07_5g-14409.php
Samsung Galaxy A07 4G,"2025, August 25","5000 mAh | 6.7 inches, 108.4 cm 2 (~83.6% screen-to-body ratio) | 720 x 1600 pixels, 20:9 ratio (~262 ppi density)",5000 mAh,"8 MP, f/2.0, (wide), 1/4.0"", 1.12µm",4GB,"64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM, 256GB 8GB RAM",$ 111.00 / £ 67.90,https://www.gsmarena.com/samsung_galaxy_a07-14066.php
Samsung Galaxy A17,"2025, August 06","5000 mAh | 6.7 inches, 110.2 cm 2 (~86.0% screen-to-body ratio) | 1080 x 2340 pixels, 19.5:9 ratio (~385 ppi density)",5000 mAh,"13 MP, f/2.0, (wide), 1/3.1"", 1.12µm",4GB,"128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 4GB RAM, 256GB 8GB RAM","$ 99.88 / € 144.10 / £ 119.99 / ₹ 18,999",https://www.gsmarena.com/samsung_galaxy_a17_5g-14041.php
Samsung Galaxy A17 4G,"2025, September 18","5000 mAh | 6.7 inches, 110.2 cm 2 (~86.0% screen-to-body ratio) | 1080 x 2340 pixels, 19.5:9 ratio (~385 ppi density)",5000 mAh,"13 MP, f/2.0, (wide), 1/3.1"", 1.12µm",4GB,"128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 4GB RAM, 256GB 8GB RAM",$ 150.00 / € 137.00 / £ 107.49,https://www.gsmarena.com/samsung_galaxy_a17-14157.php
Samsung Galaxy F07,"2025, October 04","5000 mAh | 6.7 inches, 108.4 cm 2 (~83.6% screen-to-body ratio) | 720 x 1600 pixels, 20:9 ratio (~262 ppi density)",5000 mAh,"8 MP, f/2.0, (wide), 1/4.0"", 1.12µm",4GB,64GB 4GB RAM,"£ 189.99 / ₹ 8,399",https://www.gsmarena.com/samsung_galaxy_f07-14205.php
Samsung Galaxy F17,"2025, September 11","Li-Ion 5000 mAh | 6.7 inches, 110.2 cm 2 (~86.0% screen-to-body ratio) | 1080 x 2340 pixels, 19.5:9 ratio (~385 ppi density)",Li-Ion 5000 mAh,"13 MP, f/2.0, (wide), 1/3.1"", 1.12µm",4GB,"128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM","₹ 13,795",https://www.gsmarena.com/samsung_galaxy_f17_5g-14107.php
Samsung Galaxy F36,"2025, July 21","5000 mAh | 6.7 inches, 109.1 cm 2 (~85.2% screen-to-body ratio) | 1080 x 2340 pixels, 19.5:9 ratio (~387 ppi density)",5000 mAh,"13 MP, f/2.2, (wide), 1/3.06"", 1.12µm",6GB,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM","₹ 16,499",https://www.gsmarena.com/samsung_galaxy_f36_5g-14009.php
Samsung Galaxy F70e,"2026, February 09","Li-Ion 6000 mAh | 6.7 inches, 108.4 cm 2 (~83.6% screen-to-body ratio) | 720 x 1600 pixels, 20:9 ratio (~262 ppi density)",Li-Ion 6000 mAh,"8 MP, f/2.0, 26mm (wide), 1/4.0"", 1.12µm",4GB,"128GB 4GB RAM, 128GB 6GB RAM","₹ 13,899",https://www.gsmarena.com/samsung_galaxy_f70e_5g-14459.php
Samsung Galaxy M07,"2025, October 01","5000 mAh | 6.7 inches, 108.4 cm 2 (~83.6% screen-to-body ratio) | 720 x 1600 pixels, 20:9 ratio (~262 ppi density)",5000 mAh,"8 MP, f/2.0, (wide), 1/4.0"", 1.12µm",4GB,64GB 4GB RAM,"₹ 7,499",https://www.gsmarena.com/samsung_galaxy_m07-14100.php
Samsung Galaxy M17,"2025, October 10","5000 mAh | 6.7 inches, 110.2 cm 2 (~86.0% screen-to-body ratio) | 1080 x 2340 pixels, 19.5:9 ratio (~385 ppi density)",5000 mAh,"13 MP, f/2.0, (wide), 1/3.1"", 1.12µm",4GB,"128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM",About 120 EUR,https://www.gsmarena.com/samsung_galaxy_m17_5g-14221.php
Samsung Galaxy S25 FE,"2025, September 04","4900 mAh | 6.7 inches, 110.2 cm 2 (~89.2% screen-to-body ratio) | 1080 x 2340 pixels, 19.5:9 ratio (~385 ppi density)",4900 mAh,"12 MP, f/2.2, 26mm (wide), 1/3.2"", 1.12µm",8GB,"128GB 8GB RAM, 256GB 8GB RAM, 512GB 8GB RAM","$ 649.99 / € 479.99 / £ 479.99 / ₹ 53,390",https://www.gsmarena.com/samsung_galaxy_s25_fe_5g-14042.php
Samsung Galaxy S26,"2026, February 25","Li-Ion 4300 mAh | 6.3 inches, 96.5 cm 2 (~90.0% screen-to-body ratio) | 1080 x 2340 pixels, 19.5:9 ratio (~411 ppi density)",Li-Ion 4300 mAh,"12 MP, f/2.2, 26mm (wide), 1/3.2"", 1.12µm, dual pixel PDAF",12GB,"256GB 12GB RAM, 512GB 12GB RAM",$ 899.99 / € 999.00 / £ 879.00,https://www.gsmarena.com/samsung_galaxy_s26_5g-14456.php
Samsung Galaxy S26 Ultra,"2026, February 25","Li-Ion 5000 mAh | 6.9 inches, 115.9 cm 2 (~90.7% screen-to-body ratio) | 1440 x 3120 pixels, 19.5:9 ratio (~500 ppi density)",Li-Ion 5000 mAh,"12 MP, f/2.2, 26mm (wide), 1/3.2"", 1.12µm, dual pixel PDAF",12GB,"256GB 12GB RAM, 512GB 12GB RAM, 1TB 16GB RAM","$ 1,299.99 / € 1,449.00 / £ 1,279.00",https://www.gsmarena.com/samsung_galaxy_s26_ultra_5g-14320.php
Samsung Galaxy S26+,"2026, February 25","Li-Ion 4900 mAh | 6.7 inches, 108.9 cm 2 (~90.7% screen-to-body ratio) | 1440 x 3120 pixels, 19.5:9 ratio (~516 ppi density)",Li-Ion 4900 mAh,"12 MP, f/2.2, 26mm (wide), 1/3.2"", 1.12µm, dual pixel PDAF",12GB,"256GB 12GB RAM, 512GB 12GB RAM","$ 1,099.99 / € 1,249.00 / £ 1,099.00",https://www.gsmarena.com/samsung_galaxy_s26+_5g-14457.php
Samsung Galaxy Tab A11,"2025, September 12","5100 mAh | 8.7 inches, 214.9 cm 2 (~81.7% screen-to-body ratio) | 800 x 1340 pixels, 5:3 ratio (~179 ppi density)",5100 mAh,5 MP,4GB,"64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM",About 180 EUR,https://www.gsmarena.com/samsung_galaxy_tab_a11-14141.php
Samsung Galaxy Tab A11+,"2025, September 29","Li-Po 7040 mAh | 11.0 inches, 350.9 cm 2 (~80.9% screen-to-body ratio) | 1200 x 1920 pixels, 16:10 ratio (~206 ppi density)",Li-Po 7040 mAh,5 MP,6GB,"128GB 6GB RAM, 256GB 6GB RAM, 256GB 8GB RAM",$ 225.44,https://www.gsmarena.com/samsung_galaxy_tab_a11+-14192.php
Samsung Galaxy Tab S10 Lite,"2025, August 25","Li-Po 8000 mAh | 10.9 inches, 344.5 cm 2 (~81.7% screen-to-body ratio) | 1320 x 2112 pixels, 16:10 ratio (~228 ppi density)",Li-Po 8000 mAh,"5 MP, (wide)",6GB,"128GB 6GB RAM, 256GB 8GB RAM",$ 349.99,https://www.gsmarena.com/samsung_galaxy_tab_s10_lite_5g-14059.php
Samsung Galaxy Tab S11,"2025, September 04","Li-Po 8400 mAh | 11.0 inches, 350.9 cm 2 (~83.6% screen-to-body ratio) | 1600 x 2560 pixels, 16:10 ratio (~274 ppi density)",Li-Po 8400 mAh,"12 MP, f/2.4, 120˚ (ultrawide)",12GB,"128GB 12GB RAM, 256GB 12GB RAM, 512GB 12GB RAM, 2TB 12GB RAM",$ 799.99,https://www.gsmarena.com/samsung_galaxy_tab_s11_5g-14058.php
Samsung Galaxy Tab S11 Ultra,"2025, September 04","Li-Po 11600 mAh | 14.6 inches, 617.8 cm 2 (~90.8% screen-to-body ratio) | 1848 x 2960 pixels, 16:10 ratio (~239 ppi density)",Li-Po 11600 mAh,"12 MP, f/2.4, 120˚ (ultrawide)",12GB,"128GB 12GB RAM, 256GB 12GB RAM, 512GB 12GB RAM, 1TB 16GB RAM",$ 990.00,https://www.gsmarena.com/samsung_galaxy_tab_s11_ultra_5g-14057.php
Samsung Galaxy Watch8,"2025, July 09",Li-Ion 435 mAh | 1.47 inches | 480 x 480 pixels (~327 ppi density),Li-Ion 435 mAh,,2GB,32GB 2GB RAM,$ 339.99 / € 232.40,https://www.gsmarena.com/samsung_galaxy_watch8-13997.php
Samsung Galaxy Watch8 Classic,"2025, July 09",Li-Ion 445 mAh | 1.34 inches | 438 x 438 pixels (~327 ppi density),Li-Ion 445 mAh,,2GB,64GB 2GB RAM,$ 549.99 / € 245.89,https://www.gsmarena.com/samsung_galaxy_watch8_classic-13998.php
Samsung Galaxy Z Flip7,"2025, July 09","4300 mAh | 6.9 inches, 111.2 cm 2 (~88.7% screen-to-body ratio) | 1080 x 2520 pixels, 21:9 ratio (~397 ppi density)",4300 mAh,"10 MP, f/2.2, 23mm (wide), 1/3.0"", 1.22µm",12GB,"256GB 12GB RAM, 512GB 12GB RAM","$ 1,099.99 / € 836.20 / £ 674.49 / ₹ 109,999",https://www.gsmarena.com/samsung_galaxy_z_flip7-13712.php
Samsung Galaxy Z Flip7 FE,"2025, July 09","4000 mAh | 6.7 inches, 101.5 cm 2 (~85.5% screen-to-body ratio) | 1080 x 2640 pixels (~426 ppi density)",4000 mAh,"10 MP, f/2.2, 23mm (wide), 1/3.0"", 1.22µm",8GB,"128GB 8GB RAM, 256GB 8GB RAM","$ 490.48 / € 926.00 / £ 700.00 / ₹ 89,999",https://www.gsmarena.com/samsung_galaxy_z_flip7_fe_5g-13844.php
Samsung Galaxy Z Fold7,"2025, July 09","Li-Po 4400 mAh | 8.0 inches, 204.2 cm 2 (~90.0% screen-to-body ratio) | 1968 x 2184 pixels (~368 ppi density)",Li-Po 4400 mAh,"10 MP, f/2.2, 18mm (ultrawide), 1/3.0"", 1.12µm Cover camera: 10 MP, f/2.2, 24mm (wide), 1/3.0"", 1.12µm",12GB,"256GB 12GB RAM, 512GB 12GB RAM, 1TB 12GB RAM, 1TB 16GB RAM","$ 1,599.99 / € 1,560.76 / £ 972.45 / ₹ 174,999",https://www.gsmarena.com/samsung_galaxy_z_fold7-13826.php
Samsung Galaxy Z TriFold,"2025, December 02","Li-Ion 5600 mAh | 10.0 inches, 305.4 cm 2 (~89.6% screen-to-body ratio) | 1584 x 2160 pixels, 4:3 ratio (~269 ppi density)",Li-Ion 5600 mAh,"10 MP, f/2.2, 18mm (ultrawide), 1/3.0"", 1.12µm Cover camera: 10 MP, f/2.2, 24mm (wide), 1/3.0"", 1.12µm",16GB,"512GB 16GB RAM, 1TB 16GB RAM","$ 2,899.00",https://www.gsmarena.com/samsung_galaxy_z_trifold_5g-14292.php
